ITEM_20150317_000001	なし_helmet
ITEM_20150317_000076	ウィザードが剣を使うといっても、甘く見てはいけません。その剣がウィザードブレードなら尚更です。
ITEM_20150317_000077	ケミニスソード
ITEM_20150317_000078	その昔、ウィンタースプーン家のアルケミストが鍛冶屋よりも良い剣が作れると主張し、作成した製造法に基づいて作られた剣です。
ITEM_20150317_000079	アウスタス
ITEM_20150317_000080	高い価値のある武器です。ただし、商人たちはあなたがこの剣を長く使うよりは、何度も買い替えに来ることを望んでいます。
ITEM_20150317_000081	ミスカスサーベル
ITEM_20150317_000082	あなたの剣術をさらに研ぎ澄ます武器です。
ITEM_20150317_000083	インフェルニーソード
ITEM_20150317_000084	剣のマイスターたちも初心者から卒業し、初めてこの剣を握った時の感動を語ることがあります。
ITEM_20150317_000085	グリタス
ITEM_20150317_000086	優れた冒険家たちが使用した剣です。強いモンスターたちから得られることが多く、この剣を手に入れた人は知らないうちに元の持ち主の復讐をしたことになります。
ITEM_20150317_000087	スパタ
ITEM_20150317_000088	刃の長さを足してグラディウスの短所を補完した剣です。
ITEM_20150317_000089	アラスのファルシオン
ITEM_20150317_000090	ファルシオンの性能を体験してみてください。
ITEM_20150317_000091	スミスソード
ITEM_20150317_000092	 - 攻撃時2%の確率で+600%のダメージ
ITEM_20150317_000093	時々鍛冶屋の勇猛な魂を見せたりもします。
ITEM_20150317_000094	クラビスソード
ITEM_20150317_000095	性能にしては、よく売れる方です。
ITEM_20150317_000096	ティオソード
ITEM_20150317_000097	トレシーソード
ITEM_20150317_000098	セスタスソード
ITEM_20150317_000099	ドラットソード
ITEM_20150317_000100	アストンソード
ITEM_20150317_000101	デビイソード
ITEM_20150317_000102	プリマソード
ITEM_20150317_000103	トリニティソード
ITEM_20150317_000104	一種類のファルシオンでは物足りない場合にお勧めの剣です。もちろん、製造費用はかかります。
ITEM_20150317_000105	デュランダル
ITEM_20150317_000106	多くの人が自ら立派だと思う剣にこの名前を付けます。古代に選ばれた女神の勇者が使用したと言われる剣の名前です。
ITEM_20150317_000107	ヴェルニアップ
ITEM_20150317_000108	ある人々からはこの剣が、あまりにも残酷な武器だと言われています。
ITEM_20150317_000109	フォルティス
ITEM_20150317_000110	神樹の日直後には人気がありませんでしたが、防御力の高いモンスターが発見されたことによって再評価されています。
ITEM_20150317_000111	チャッパーリションカッター
ITEM_20150317_000112	一説によると、魔族間の紛争にもこの剣が使われているそうです。
ITEM_20150317_000113	デスウィーバーカッター
ITEM_20150317_000114	これからはあなたが死に至らせる者になる必要があります。
ITEM_20150317_000115	チャッパーリションソード
ITEM_20150317_000116	魔族の間にも紛争が存在するという間接的な証拠でもあります。
ITEM_20150317_000117	ベンドラスソード
ITEM_20150317_000118	女神の力が一部宿っているこの剣は、古代から多くの悪を裁いてきました。
ITEM_20150317_000119	イルリジア
ITEM_20150317_000120	敵の命と持ち主の経済状態に深刻なダメージを与えます。もちろん多くのソードマンは前者しか興味が無いので、後者は無視しています。
ITEM_20150317_000121	削除予定
ITEM_20150317_000122	両手剣[斬]
ITEM_20150317_000123	ダンケルバスタードソード
ITEM_20150317_000124	ある職人達とソードマンからは混合様式の基本両手剣と言われています。自分を納得させるのは大事ですから。
ITEM_20150317_000125	フランベルジェ
ITEM_20150317_000126	両手剣に慣れた者にとって、波打つ剣は大きなダメージを与えられる構造です。
ITEM_20150317_000127	野太刀
ITEM_20150317_000128	ちょうど良い長さの野太刀を持つと斬る力が上がり、敵との距離を支配できます。
ITEM_20150317_000129	クレイモア
ITEM_20150317_000130	我が王国のクレイモアは重さと威力を重視して作られています。
ITEM_20150317_000131	コロッサス
ITEM_20150317_000132	扇型の剣身は威力を増強し、様々な技に応用できる可能性があります。
ITEM_20150317_000133	カリバーン
ITEM_20150317_000134	比較的地位の高いソードマンに愛用される剣です。
ITEM_20150317_000135	カダラ
ITEM_20150317_000136	見た目と異なり両刃の剣で、実戦性を求めるソードマンに愛用されています。
ITEM_20150317_000137	ライトクレイモア
ITEM_20150317_000138	剣身の形を活かして敵を打つ攻撃が可能です。
ITEM_20150317_000139	粗悪なコロッサス
ITEM_20150317_000140	イルウーン
ITEM_20150317_000141	偉大なるルクリスも最初はこの剣を愛用していたそうです。
ITEM_20150317_000142	練習用バスタードソード
ITEM_20150317_000143	バスタードソード
ITEM_20150317_000144	ヘビーフランベルジェ
ITEM_20150317_000145	ヘビー野太刀
ITEM_20150317_000146	ヘビークレイモア
ITEM_20150317_000147	ダンケル野太刀
ITEM_20150317_000148	ダンケルカダラ
ITEM_20150317_000149	ダンケルフランベルジェ
ITEM_20150317_000150	ダンケルクレイモア
ITEM_20150317_000151	グレートソード
ITEM_20150317_000152	カッツバルガー
ITEM_20150317_000153	ドレスソード
ITEM_20150317_000154	ツヴァイハンダー
ITEM_20150317_000155	エクセキューショナーズソード
ITEM_20150317_000156	ルマイグレートソード
ITEM_20150317_000157	オーバーナイフ
ITEM_20150317_000158	ポテンティア
ITEM_20150317_000159	普通のフランベルジェで物足りない場合にお勧めの剣です。
ITEM_20150317_000160	タムサスフランベルジェ
ITEM_20150317_000161	あなたの潜在力とともに、大きく向上する余地がある武器です。その可能性を試してみてください。
ITEM_20150317_000162	ディデルコロッサス
ITEM_20150317_000163	より強く、より広く攻撃したいなら、この剣が役に立ちます。
ITEM_20150317_000164	コレクトゥール
ITEM_20150317_000165	神樹の日以降、実戦でもよく使われるようになりましたが、それまでは装飾や収集向けの剣という認識が強かったです。
ITEM_20150317_000166	ホグマグレートソード
ITEM_20150317_000167	ホグマたちがどこでこのような武器を手に入れるのか、または作るのかは重要ではありません。私達が製造して使用できるというところが大事です。
ITEM_20150317_000168	ケミニスバスタードソード
ITEM_20150317_000169	ウィンタースプーン家は神樹の日という前代未聞の事態を迎え、全てのアルケミストにこの剣の製造法を公開しました。
ITEM_20150317_000170	プリマルーチェ
ITEM_20150317_000171	自分の初めての魔法剣として、威力のある武器を希望するソードマンからよく選ばれる武器です。
ITEM_20150317_000172	キンジャール
ITEM_20150317_000173	自分の武器を練磨することを好むソードマンたちは、この剣を作って使用します。
ITEM_20150317_000174	インフェルニーグレートソード
ITEM_20150317_000175	ブラックマーケットとの取引でこの剣を手に入れたら、ある程度の信頼関係を築いた証として受け入れられます。
ITEM_20150317_000176	プリエブランダ
ITEM_20150317_000177	この剣の製造法を考案した職人は、プリマルーチェの製造者と同一人物です。
ITEM_20150317_000178	ラピスカッツバルガー
ITEM_20150317_000179	カッツバルガーを強化する方法が発見されてから100年も経っていません。ですので、この剣の製造法はルクリスとは無関係です。
ITEM_20150317_000180	スミスグレートソード
ITEM_20150317_000181	神樹の日以降、魔法武器の安定性をあまり考慮しない傾向があります。
ITEM_20150317_000182	クラビスグレートソード
ITEM_20150317_000183	あなたの両手の頼もしい友となります。
ITEM_20150317_000184	トレシーグレートソード
ITEM_20150317_000185	セスタスグレートソード
ITEM_20150317_000186	ドラットグレートソード
ITEM_20150317_000187	アストングレートソード
ITEM_20150317_000188	デビイグレートソード
ITEM_20150317_000189	プリマグレートソード
ITEM_20150317_000190	フラミニ
ITEM_20150317_000191	昔から魔族に挑む勇者たちの必需品と言われている上質な剣です。
ITEM_20150317_000192	ウィザードスレイヤー
ITEM_20150317_000193	普通のウィザードたちはこの剣をあまり気にしませんが、戦闘経験が豊富なウィザードはかなり警戒します。
ITEM_20150317_000194	両手剣[打]
ITEM_20150317_000195	深夜の闇から飛び出した一本の剣のように、ナクティスは意外な打撃を与えます。
ITEM_20150317_000196	ルシドゥス
ITEM_20150317_000197	単なる斧だと侮る人もいますが、使った人たちはこの剣がなかったら、神樹の日の被害はさらに大きくなっていただろうと言います。
ITEM_20150317_000198	ヘルアンドヘヴン
ITEM_20150317_000199	攻撃は最高の防御という言葉があります。あなたがこの剣でその事実を証明してください。
ITEM_20150317_000200	デスウィーバートゥース
ITEM_20150317_000201	実際、デスウィーバーの身体を利用して作ることはありません。
ITEM_20150317_000202	チャッパーリショングレートソード
ITEM_20150317_000203	実体のない存在から発生したものが、時には大きな力を与えることがあります。体積のない存在から発生したものが、時には大きな物を制圧します。
ITEM_20150317_000204	ヌリース
ITEM_20150317_000205	夜と昼、どちらにも属さない存在に強い力を発揮します。
ITEM_20150317_000206	グラビティー
ITEM_20150317_000207	あなたが誰であっても、そしてどこにいても重力からは逃れられません。でも重力に適応できれば、その効力は誰も無視できないでしょう。
ITEM_20150317_000208	粗悪なショートロッド
ITEM_20150317_000209	ロッド[打]
ITEM_20150317_000210	魔法を習う者なら、必ず一度は使うことになるありふれた装備です。
ITEM_20150317_000211	ショートロッド
ITEM_20150317_000212	ウィザードは入門期を過ぎると、こういった装備に交換します。
ITEM_20150317_000213	ローロングロッド
ITEM_20150317_000214	ウィザードの装備に施される装飾は単なる飾り以上の意味があります。
ITEM_20150317_000215	ローケインローバー
ITEM_20150317_000216	高名なウィザードが心をこめて削って作った杖には、神秘的な力が宿ります。
ITEM_20150317_000217	ケイン
ITEM_20150317_000218	自分で作っていない杖も、飾り付けることで自分の好みに合わせることができるそうです。
ITEM_20150317_000219	クルーク
ITEM_20150317_000220	伝説によると、最初は悪質なウィザードたちが使用したと伝えられています。
ITEM_20150317_000221	ピューターロッド
ITEM_20150317_000222	一時、野心のある若いウィザードの間で流行っていた装備です。
ITEM_20150317_000223	オウルロッド
ITEM_20150317_000224	ベテランウィザードたちが好む飾りが付いています。
ITEM_20150317_000225	ルーンロッド
ITEM_20150317_000226	ロッドの力を強化するため、魔法ルーンが使われています。
ITEM_20150317_000227	クリスタルロッド
ITEM_20150317_000228	魔力を込める宝石と杖の正確な融合が求められる装備です。
ITEM_20150317_000229	粗悪なピューターロッド
ITEM_20150317_000230	粗悪なオウルロッド
ITEM_20150317_000231	兵士のショートロッド
ITEM_20150317_000232	すでにウィザードになっている人が軍に所属すると支給される装備です。神樹の日以降はかなりの在庫が残っています。
ITEM_20150317_000233	村長のロングロッド
ITEM_20150317_000234	昔流行っていた形です。旧式ですが性能は悪くありません。
ITEM_20150317_000235	粗悪なケインローバー
ITEM_20150317_000236	バトルロッド
ITEM_20150317_000237	魔法のサポートの他に、他の戦闘用として使えるように作られた装備です。
ITEM_20150317_000238	ヘビーショートロッド
ITEM_20150317_000239	ロングロッド
ITEM_20150317_000240	ヘビーロングロッド
ITEM_20150317_000241	ケインローバー
ITEM_20150317_000242	ヘビーケイン
ITEM_20150317_000243	ヘビークルーク
ITEM_20150317_000244	ヘビーピューターロッド
ITEM_20150317_000245	ダンケルクルーク
ITEM_20150317_000246	ダンケルクリスタルロッド
ITEM_20150317_000247	ダンケルロングロッド
ITEM_20150317_000248	ダンケルケインローバー
ITEM_20150317_000249	ダンケルケイン
ITEM_20150317_000250	ダンケルピューターロッド
ITEM_20150317_000251	スネークロッド
ITEM_20150317_000252	アルターロッド
ITEM_20150317_000253	ナルドロッド
ITEM_20150317_000254	エルダーロッド
ITEM_20150317_000255	メテオロッド
ITEM_20150317_000256	リングロッド
ITEM_20150317_000257	サーバントロッド
ITEM_20150317_000258	パントロッド
ITEM_20150317_000259	ウィザードは神樹の日以降、新しく出現したモンスターから発見された事実を装備に応用しています。
ITEM_20150317_000260	アイスロッド
ITEM_20150317_000261	噂によると、この杖の製造書が売れる度にクリオマンサーマスターにも代金が支払われるそうです。
ITEM_20150317_000262	ファイアロッド
ITEM_20150317_000263	ロッドに女神ガビヤの力を込める方法を知っている人はパイロマンサーマスターだけです。
ITEM_20150317_000264	バシアロッド
ITEM_20150317_000265	クレリックたちはウィザードたちがこの装備を作る際に、魂を扱うことが気に食わないようですが、ウィザードたちは全く気にしません。
ITEM_20150317_000266	マジックロッド
ITEM_20150317_000267	初心者のウィザードでも簡単に作ることができる形の魔法強化ロッドです。
ITEM_20150317_000268	グリーナスロッド
ITEM_20150317_000269	神樹の日以降、増えてきた魔族のせいでこのロッドの需要が多くなり、元々高価だった価格がもっと高くなりました。
ITEM_20150317_000270	ケミニスロッド
ITEM_20150317_000271	同名の他の装備と違って、これはウィンタースプーン家とは直接関係ありません。
ITEM_20150317_000272	アークロッド
ITEM_20150317_000273	より高いレベルを目指すウィザードがその基礎としてよく使う装備です。知能が高くなったら、よりレベルの高い装備をする場合があります。
ITEM_20150317_000274	インフェルニーロッド
ITEM_20150317_000275	個性を求めるウィザードたちが愛用する装備です。
ITEM_20150317_000276	アラスのロングロッド
ITEM_20150317_000277	手頃な値段のおかげで、ウィザードの間でプレゼントとして気軽にやり取りできるアイテムの一つです。
ITEM_20150317_000278	スミスロッド
ITEM_20150317_000279	この装備の意外性は、使う者の影響を受けません。
ITEM_20150317_000280	クラビスロッド
ITEM_20150317_000281	あなたがこれを使用する、初めての歴史上の人物になってください。
ITEM_20150317_000282	ディオロッド
ITEM_20150317_000283	トレシーロッド
ITEM_20150317_000284	セスタスロッド
ITEM_20150317_000285	ドラットロッド
ITEM_20150317_000286	アストンロッド
ITEM_20150317_000287	デビイロッド
ITEM_20150317_000288	プリマロッド
ITEM_20150317_000289	テメレ
ITEM_20150317_000290	このロッドはまたの名を忍耐の杖といいます。伝説によると、歴史上最高のウィザードであるアガイラ・フラリーが弟子達を指導する為に考案したものだそうです。
ITEM_20150317_000291	イグニッション
ITEM_20150317_000292	パイロマンサーマスターはこの杖の相反する部分を緩和しようと取り組んでいますが、まだ進歩はないようです。
ITEM_20150317_000293	セクレトゥム
ITEM_20150317_000294	ウィザードだけのための装備です。ですのでウィザードたちはこの杖の短所を気にしません。
ITEM_20150317_000295	デスウィーバーロッド
ITEM_20150317_000296	デスウィーバーの力が込められた装備です。
ITEM_20150317_000297	チャッパーリションロッド
ITEM_20150317_000298	ザイマ
ITEM_20150317_000299	このロッドの製造書が高い理由はクリオマンサーマスターの強力な要求のせいだそうです。
ITEM_20150317_000300	エポス
ITEM_20150317_000301	その昔、当時の最高の魔法学を結集して作られた杖です。なので、この装備に何かをさらに加えることは現在の技術をもってしても不可能です。
ITEM_20150317_000302	トゥインクルロッド
ITEM_20150317_000303	いつも輝く星を見ることができます。
ITEM_20150317_000304	なし_weapon_THBow
ITEM_20150317_000305	粗悪なライトボウ
ITEM_20150317_000306	弓[突]
ITEM_20150317_000307	一般家庭でも作ることができる一番簡単な弓です。
ITEM_20150317_000308	ライトボウ
ITEM_20150317_000309	貴族の領地及び各地で、多くの人が製造・使用しています。
ITEM_20150317_000310	ローショートボウ
ITEM_20150317_000311	入門用ですが、上達してからもこれにこだわるアーチャーもいます。
ITEM_20150317_000312	ローロングボウ
ITEM_20150317_000313	短い射程距離が命取りになる場合もあります。より長い射程距離を望むならロングボウも選択肢に入れるべきでしょう。
ITEM_20150317_000314	コンポジットボウ
ITEM_20150317_000315	多くの材料を使用して弾性を強化させた弓です。
ITEM_20150317_000316	セルフボウ
ITEM_20150317_000317	自ら身を削るような修練に励むアーチャーの心構えを意味します。
ITEM_20150317_000318	ローカスボウ
ITEM_20150317_000319	この弓は、これを初めて考案した人の出身地から名づけられたと思われます。
ITEM_20150317_000320	ゴリトス
ITEM_20150317_000321	弓兵が愛用する弓です。
ITEM_20150317_000322	グライル
ITEM_20150317_000323	弓の製造に魔法を使用した初めてのケースとして、歴史に記録された弓です。その後にも作り続けられています。
ITEM_20150317_000324	カーマン
ITEM_20150317_000325	こういった強力な改造は、筋力に自信のあるアーチャーたちから好まれます。
ITEM_20150317_000326	粗悪なローカスボウ
ITEM_20150317_000327	粗悪なゴリトス
ITEM_20150317_000328	兵士のライトボウ
ITEM_20150317_000329	正規軍の最低規格に合わせて製造された弓を指します。
ITEM_20150317_000330	村長のショートボウ
ITEM_20150317_000331	毎日紐を結んだりほどいたりした手間の痕跡が見えます。古い割にはよく手入れされているようです。
ITEM_20150317_000332	粗悪なロングボウ
ITEM_20150317_000333	ゲンダワ
ITEM_20150317_000334	魔法なしの工程で作られた弓の中では、最も高いグレードに属する弓です。
ITEM_20150317_000335	ヘビーライトボウ
ITEM_20150317_000336	ショートボウ
ITEM_20150317_000337	ヘビーショートボウ
ITEM_20150317_000338	ロングボウ
ITEM_20150317_000339	ヘビーコンポジットボウ
ITEM_20150317_000340	ヘビーセルフボウ
ITEM_20150317_000341	ヘビーローカスボウ
ITEM_20150317_000342	ダンケルセルフボウ
ITEM_20150317_000343	ダンケルカーマン
ITEM_20150317_000344	ダンケルショートボウ
ITEM_20150317_000345	ダンケルロングボウ
ITEM_20150317_000346	ダンケルコンポジットボウ
ITEM_20150317_000347	ダンケルローカスボウ
ITEM_20150317_000348	リカーブボウ
ITEM_20150317_000349	シーズボウ
ITEM_20150317_000350	スナイパーボウ
ITEM_20150317_000351	スカルボウ
ITEM_20150317_000352	ウッドコンパウンドボウ
ITEM_20150317_000353	タグボウ
ITEM_20150317_000354	ローグボウ
ITEM_20150317_000355	シーカー
ITEM_20150317_000356	この弓は古くからハンターたちから愛用された弓で、神樹の日以降、さらに使い道が増えました。
ITEM_20150317_000357	アイアンボウ
ITEM_20150317_000358	命中率に優れ、敵に予想外のダメージを与えることがよくあります。
ITEM_20150317_000359	ホークボウ
ITEM_20150317_000360	その辺りに落ちていた骨で作られたセルフボウは、時々金との相乗作用がない場合があります。
ITEM_20150317_000361	ケミニスボウ
ITEM_20150317_000362	敏捷性が上がるという特徴があるため、この名が付けられました。
ITEM_20150317_000363	ハンティングボウ
ITEM_20150317_000364	弓系武器への錬金術の適用は理論のみでしたが、最近になって需要が高まり、たくさん製造されるようになりました。
ITEM_20150317_000365	メーカーボウ
ITEM_20150317_000366	以前は金銭的に余裕のあるハンターたちが購入していましたが、現在は状況が深刻になったため、余裕がなくても何とかお金を集めて買ったり、作ったりするようになりました。
ITEM_20150317_000367	サベージボウ
ITEM_20150317_000368	神樹の日以降、高級弓の需要が増えたため、この弓がたくさん作られるようになりました。
ITEM_20150317_000369	スネークボウ
ITEM_20150317_000370	筋力が強くても弱くても、この弓は良い選択となります。筋力が足りなければ筋力を鍛えればよいだけの話です。
ITEM_20150317_000371	インフェルニーボウ
ITEM_20150317_000372	名前のとおり、鋭い攻撃ができます。
ITEM_20150317_000373	レテナーボウ
ITEM_20150317_000374	重さのある弓で、重量級のモンスターを狩る気分が味わえます。
ITEM_20150317_000375	ストロングボウ
ITEM_20150317_000376	製造には手間がかかりますが、それだけの値がある武器です。
ITEM_20150317_000377	アラスのショートボウ
ITEM_20150317_000378	初めて魔法弓を手に入れる人からよく選ばれる武器です。
ITEM_20150317_000379	ピュリーボウ
ITEM_20150317_000380	スミスボウ
ITEM_20150317_000381	もし他の弓を持っていないなら、幸運に任せてこれを購入してみてください。
ITEM_20150317_000382	クラビスボウ
ITEM_20150317_000383	魔法弓としては普通という評判ですが、使用者によって違うかもしれません。
ITEM_20150317_000384	ディオボウ
ITEM_20150317_000385	トレシーボウ
ITEM_20150317_000386	セスタスボウ
ITEM_20150317_000387	ドラットボウ
ITEM_20150317_000388	アストンボウ
ITEM_20150317_000389	デビイボウ
ITEM_20150317_000390	プリマボウ
ITEM_20150317_000391	ワイドリングベイン
ITEM_20150317_000392	変な話かもしれませんが、神樹の日以前のハンターたちはこの弓をあまり使用しませんでした。獲物に与える損傷があまりにもひどかったせいです。
ITEM_20150317_000393	イコライザー
ITEM_20150317_000394	自分の実力以外、どんな幸運も望まないプライドの高いアーチャーがいます。彼らにぴったりな弓です。
ITEM_20150317_000395	ハートシーカ―
ITEM_20150317_000396	この弓にかけられた呪文は原因不明の理由により、使用者とターゲットの双方にふりかかる呪いに変わってしまいました。それにも関わらず、この弓の利点を考えたアーチャー達から選ばれています。
ITEM_20150317_000397	バイパー
ITEM_20150317_000398	あまりにも強い毒を使用しているため、使用者も被害を受けることを覚悟する必要があります。
ITEM_20150317_000399	デスウィーバーボウ
ITEM_20150317_000400	この弓があなたの敵に死をもたらしますように。
ITEM_20150317_000401	チャッパーリションボウ
ITEM_20150317_000402	このように書いてあります。「背骨を真っすぐにして肩を引き締め、弓を引き絞って矢を押しだすように撃て。」
ITEM_20150317_000403	ブラッドゲイン
ITEM_20150317_000404	リディア・シャッフェンが考案したと言われています。リディア・シャッフェンは生前にこの弓を愛用しましたが、自分が創設した星の塔とシャッフェンスターにはあえてこの製造法を伝えなかったそうです。
ITEM_20150317_000405	テンペストシューター
ITEM_20150317_000406	最近アーチャーマスターたちが一緒に研究して作り出した新しい弓です。神樹の日に備えて欲しいという願いが込められています。
ITEM_20150317_000407	なし_weapon_Bow
ITEM_20150317_000408	ローライトクロスボウ
ITEM_20150317_000409	弩[突]
ITEM_20150317_000410	攻撃力よりも片手を自由に使う必要がある時、選ばれます。
ITEM_20150317_000411	ロークロスボウ
ITEM_20150317_000412	最近の弩弓は色々な材料で作られます。その材料はモンスターから得られる場合が多いです。
ITEM_20150317_000413	弩弓
ITEM_20150317_000414	多少リロードのしやすい武器です。
ITEM_20150317_000415	クォレルボウ
ITEM_20150317_000416	クォレルシューターマスターはこれで初心者を指導します。
ITEM_20150317_000417	オーククロスボウ
ITEM_20150317_000418	神樹の日以降、良質な木を手に入れることは難しくなりましたが、まだこれの製造には困ってはいません。
ITEM_20150317_000419	シールクロスボウ
ITEM_20150317_000420	モンスターの骨は時々呪いを発現するため、封印をしておきます。
ITEM_20150317_000421	カタパルト
ITEM_20150317_000422	攻城兵器を個人が活用する方法を研究してきた歴史は古いです。そしてその成果は、この武器によく現れています。
ITEM_20150317_000423	クレインクイン
ITEM_20150317_000424	装置があるからこそ、初心者は助けられ、熟練者は威力を増加させることができます。
ITEM_20150317_000425	粗悪なオーククロスボウ
ITEM_20150317_000426	粗悪なシールクロスボウ
ITEM_20150317_000427	スナイパークロスボウ
ITEM_20150317_000428	暗殺者エボニフォンがよく使用して悪名が高いですが、良い所も多い武器です。
ITEM_20150317_000429	ライトクロスボウ
ITEM_20150317_000430	ヘビーライトクロスボウ
ITEM_20150317_000431	クロスボウ
ITEM_20150317_000432	ヘビードキュ
ITEM_20150317_000433	ヘビークォレルボウ
ITEM_20150317_000434	ヘビーオーククロスボウ
ITEM_20150317_000435	ダンケルクォレルボウ
ITEM_20150317_000436	ダンケルクレインクイン
ITEM_20150317_000437	ダンケルクロスボウ
ITEM_20150317_000438	ダンケルドキュ
ITEM_20150317_000439	ダンケルオーククロスボウ
ITEM_20150317_000440	アーバレスト
ITEM_20150317_000441	フェディミアンターレット
ITEM_20150317_000442	ビュレットシューター
ITEM_20150317_000443	ブラックチップボウ
ITEM_20150317_000444	スパイククロスボウ
ITEM_20150317_000445	ウィンドレス
ITEM_20150317_000446	ヘビークロスボウ
ITEM_20150317_000447	少し重いですが弓自体にかけられた魔法が役に立つはずです。
ITEM_20150317_000448	ワイドクロスボウ
ITEM_20150317_000449	狙いがよければ致命的なダメージを与えられる良い弓です。
ITEM_20150317_000450	グランドクロス
ITEM_20150317_000451	短所があまりない性能の良い弓で、アーチャーから人気です。
ITEM_20150317_000452	ケミニスクロスボウ
ITEM_20150317_000453	錬金術に基づいて製造される武器は神樹の日以降、需要が増えました。
ITEM_20150317_000454	メディーナレジーナクロスボウ
ITEM_20150317_000455	防具がしっかり揃っている敵をターゲットにするために作られました。
ITEM_20150317_000456	レジーナクロスボウ
ITEM_20150317_000457	クロスボウの帝王とは言えませんが、女王くらいなら認めてもいい性能の武器です。
ITEM_20150317_000458	チェイサー
ITEM_20150317_000459	風向きまたは視野が良くない所で活動するアーチャーによく使われます。
ITEM_20150317_000460	インフェルニークロスボウ
ITEM_20150317_000461	ブラックマーケットの装備に維持費がたくさんかかるのは、計画的という噂があります。
ITEM_20150317_000462	グレイブクロスボウ
ITEM_20150317_000463	相手を確実に仕留めたいなら、これがお勧めです。
ITEM_20150317_000464	スミスクロスボウ
ITEM_20150317_000465	弓を引く度に、今回はこれまでにないダメージを与えてやろうと言う心意気が必要です。
ITEM_20150317_000466	クラビスクロスボウ
