QUEST_20150317_000001	クエスト修正が必要なユーザーを選択してください。
QUEST_20150317_000073	私のことはご心配なく。{nl}ああ、きれいな花がこっちへ来るぞ。
QUEST_20150317_000074	レナ
QUEST_20150317_000075	レナはバイボラ様の意志に従って、世の中のあらゆる出来事を記録していますの。{nl}だから、あなたの貴重な経験談を聞かせてほしいんです。{nl}もちろん！ささやかではありますけれど、御礼をさせていただきますわ。
QUEST_20150317_000076	リッカ
QUEST_20150317_000077	こんにちは。魔法協会クラペダ支部です。{nl}私たちは特別な物が集まった時に起きる神秘的な現象について研究しているのですよ。
QUEST_20150317_000078	ここはどう見ても湿気とゴブリンしかいないみたいだ。{nl}こんな場所で巨大な顔だなんて…、一体何が飛び出して来たんだろう？
QUEST_20150317_000079	俺だけでもしっかりしないと。{nl}まだ世界が滅びたわけじゃないんだ…そうだろ？
QUEST_20150317_000080	厚意が続けばそれを権利だと錯覚するもんだ。{nl}もしかしたら、俺達は女神に頼り過ぎたのが間違いだったのかもしれないな。
QUEST_20150317_000081	掲示板
QUEST_20150317_000082	天恵の鉱山都市、クラペダへようこそ！
QUEST_20150317_000083	淡々とした未亡人
QUEST_20150317_000084	理由は私にも分かりません。{nl}ですが確かなのは、女神が一度に姿を消したわけではないということです。
QUEST_20150317_000085	最初に姿を隠されたのは女神ガビヤでした。{nl}もうずっと昔のことだそうですが…。{nl}女神ガビヤが姿を消した後に、お一人ずつどんどん応答が無くなったそうです。{nl}
QUEST_20150317_000086	女神ヴァカリネは神樹の日以前に姿を隠されました。{nl}最後には女神ジェミナと女神アウシュリネが…。そして女神はいなくなってしまったのです。{nl}それからもう4年も経ったのですね。{nl}
QUEST_20150317_000087	ええ。一番おかしいのは、女神ライマです。{nl}いつ姿を隠されたのか、誰も知らないのですから。{nl}
QUEST_20150317_000088	それに、ライマは運命と予知の女神…。{nl}もしかしたら、何もかもご存じだったのかもしれませんね。
QUEST_20150317_000089	休憩中の兵士
QUEST_20150317_000090	私も若い頃はあなたのように有名な冒険家だったのですが、膝に矢を受けてからはさっぱり…
QUEST_20150317_000091	それでもモンスターなんぞ、片っぱしから倒してやりますよ
QUEST_20150317_000092	先日は女神が夢に出てきて…{nl}どんなに嬉しかったか…。
QUEST_20150317_000093	でも、王国を守る義務があるので、今ここにいるんです。
QUEST_20150317_000094	ウスカなら、古い友人ですよ。{nl}
QUEST_20150317_000095	一緒に騎士の試験を受けたんですが、私が献身的に支えたからこそ今のウスカがいるんです。{nl}ああ、あの頃は楽しかったな…。
QUEST_20150317_000096	あいつの話はあまり信じない方がいいですよ。{nl}村では有名なホラ吹きでしたから。
QUEST_20150317_000097	私は面白いから放っておいてるんですけどね。
QUEST_20150317_000098	うーん…信じない方がいいって言葉は取り消します。
QUEST_20150317_000099	全部ウソなので、あいつの口から出た言葉は全部信じちゃダメですよ。
QUEST_20150317_000100	シャウレイ警備兵
QUEST_20150317_000101	ここから先はモンスターが出没するので、危険な行動は控えてください。
QUEST_20150317_000102	この森も安全というわけではありませんが、それでも他の地域に比べればマシでしょう。{nl}とある森では人はいないのに魂だけがさまよっているそうですから。
QUEST_20150317_000103	あなたのように女神の出る夢を見た人はみんな啓示者と呼ばれているんですよ。
QUEST_20150317_000104	最初はみんな、啓示者様たちを変な人だと思ってたんです。{nl}女神が姿を隠してからもう大分経ってましたからね。
QUEST_20150317_000105	4年前の神樹の日にも、どんなに祈ったって応えてくれませんでしたし。
QUEST_20150317_000106	王国のあちこちに各職業のマスターたちがいます。{nl}その人たちを訪ねて教えを請うてみてはどうでしょうか？
QUEST_20150317_000107	ご存じない？本当に田舎から出て来たみたいですね。{nl}4年前、首都の中心地から神樹が生えてきて暴走したじゃないですか。
QUEST_20150317_000108	あの災いのせいで本当に多くの人が命を落としたり、怪我をしたんです。{nl}おとなしかったモンスターも凶暴化して、見たことも無い化け物も現れて…。
QUEST_20150317_000109	4年前の神樹の日のことが知りたいなら、クラペダへ行ってみてください。{nl}あの時生き残った人がたくさんクラペダに避難しているそうですよ。
QUEST_20150317_000110	東の森の警戒兵
QUEST_20150317_000111	東の森へ行くつもりですか？{nl}絶対にやめた方がいいですよ。危険です！{nl}
QUEST_20150317_000112	うっ…ここまで追って来るなんてしつこいな！
QUEST_20150317_000113	この悲鳴は…襲撃です！
QUEST_20150317_000114	安全ルール
QUEST_20150317_000115	1. 許可された人以外は絶対立ち入り禁止。{nl}2. 必ず鉱山所長の引率で動くこと。{nl}
QUEST_20150317_000116	3. 閉鎖された区域には絶対接近禁止。{nl}むやみに接近する者を発見したら、クラペダ騎士団に通報すること。
QUEST_20150317_000117	補給基地の兵士
QUEST_20150317_000118	実戦には慣れていないので、緊張してます。
QUEST_20150317_000119	農場警戒兵
QUEST_20150317_000120	私の仲間は鉱山の村で交戦中です。{nl}できれば加勢に行きたいのですが、東の森まで大変なことになっているので心配で…。
QUEST_20150317_000121	今回の任務で一生分のモンスターに遭遇した気分ですよ。{nl}ゴブリンなんかは、履いて捨てるほどいましたからね。
QUEST_20150317_000122	チュチュは主に上の方の川辺や茂みの辺りによく出没するらしいですよ。
QUEST_20150317_000123	クラペダ警備隊長
QUEST_20150317_000124	あなたが、あの…。
QUEST_20150317_000125	ここの森の上奥で目撃したらしい。{nl}念のため刺激しない方がいいだろう。
QUEST_20150317_000126	クエストに必要なアイテムがありません。生成後に進行しますか？
QUEST_20150317_000127	クラペダの少女
QUEST_20150317_000128	あのおじさんはお隣に住んでるんだけど、昔はモンスターを狩ってたんだって。{nl}でも今は違うみたい。モンスター、凶暴すぎて危なくなっちゃったもんね。
QUEST_20150317_000129	啓示者たちが現れたのが女神が戻る兆候だといいんですが…。
QUEST_20150317_000130	女神にだけ頼るのは愚かなことですが、頼れるものが何もなくなるよりはマシだと思います。
QUEST_20150317_000131	クラペダの貴婦人
QUEST_20150317_000132	今も畑では作物が育ち、家では火を焚いて暖を取ることができますわ。{nl}だから、私は女神様がどこかにいらっしゃるって信じているのです。
QUEST_20150317_000133	さあ、祈りましょう。{nl}女神が私たちに救いの手を差し伸べてくれるはずです。
QUEST_20150317_000134	ホプライトマスター
QUEST_20150317_000135	剣が権威の象徴ならば、槍は純粋な殺傷武器そのものです。{nl}権威と武器。もしもあなたが戦場にいるならば、どちらを選びますか？
QUEST_20150317_000136	機械製造職人
QUEST_20150317_000137	いくら世の中がメチャクチャになっていても、仕事を放り出すわけにはいかん。{nl}もう4年も経ったのだから、心機一転一からやり直すべきだと思わんかね？
QUEST_20150317_000138	クラペダは鉱山で栄えた街だ。{nl}神樹の日くらいで仕事を止めてしまえば、生活が立ち行かなくなるだろう。
QUEST_20150317_000139	おじさんが言ってたんだけどね、できれば色んなところをよく見ながら歩いた方がいいんだって。{nl}運が良いと宝箱を見つけることもあるみたい。誰が置いたのかな？
QUEST_20150317_000140	引退した狩人
QUEST_20150317_000141	以前、峡谷の奥地で兵士たちが巨大なモンスターと戦っているのを見たんだ。{nl}あの恐ろしいモンスターを倒したのもすごいが、戦利品もかなりのものだったぞ。
QUEST_20150317_000142	陶器を作る老人
QUEST_20150317_000143	陶器一つ一つに願いを込めているんじゃよ。{nl}そうすれば、いつか女神の恵みがこの陶器に注がれるかもしれんからな。
QUEST_20150317_000144	ソードマン系なら、やっぱり力ですよね。{nl}でも俊敏な身のこなしや強靭な体力を手に入れるために鍛えるのもアリです。{nl}これからどうなりたいのかを考えておくと良いと思いますよ。
QUEST_20150317_000145	ウィザード系なら、やっぱり知能ですよね。{nl}でも魔法を使うには精神力も必要ですよ。{nl}均衡と集中のどちらを選ぶか、慎重に決めてくださいね。{nl}
QUEST_20150317_000146	アーチャー系ならやっぱり力ですよね。{nl}でも俊敏な身のこなしも欠かせません。{nl}これからどうなりたいのかを先に考えておくと良いと思いますよ。{nl}
QUEST_20150317_000147	クレリック系ならやっぱり知能ですよね。{nl}でも強い力や精神力が必要になる場合もあります。{nl}これからどうなりたいのかを先に考えておくと良いと思いますよ。{nl}
QUEST_20150317_000148	ドッペルゾルドナーマスター
QUEST_20150317_000149	危険なことほど価値がある場合が多い。{nl}高い報酬を望むなら、当然それだけ危険が伴うことを忘れないように。
QUEST_20150317_000150	コルセアマスター
QUEST_20150317_000151	自分の利益にならないなら、わざわざ苦労して人助けなんてする必要はない。
QUEST_20150317_000152	岩
QUEST_20150317_000153	大きな岩でふさがれている。
QUEST_20150317_000154	壊れていて修理が必要だ。
QUEST_20150317_000155	岩でふさがれている。
QUEST_20150317_000156	魔法研究資料
QUEST_20150317_000157	魔術師の塔にいたという、とある魔術師が書いたらしい研究資料が見える。{nl}書き写す？
QUEST_20150317_000158	隠身と潜入ができても、それがすべてではない。{nl}戦闘技術も持っていてこそ真のスカウトなんだ。
QUEST_20150317_000159	旅をしていると、些細な物が足りなくて困ることがあります。{nl}前もってしっかり買っておくと良いですよ。
QUEST_20150317_000160	制御魔法の呪文が途切れれば、啓示を守ることはできない。
QUEST_20150317_000161	名もなき盗賊の碑石
QUEST_20150317_000162	俺、ズベックがこの碑文を残す。{nl}最高の盗賊の誇りをかけて史上最強と名高いウィザードに挑戦するつもりだ。
QUEST_20150317_000163	だが、この俺がただ盗めただけで成功だなんて言っていいのか？{nl}もちろん、偉大なる大魔術師を相手に盗みが成功すれば、それだけでも{nl}十分立派と言えるかもしれない。{nl}
QUEST_20150317_000164	でも、俺は違う。{nl}俺は、史上最高の盗賊になりたいのさ。{nl}
QUEST_20150317_000165	ついに魔術師の塔に入る方法を見つけた。{nl}それは特定の場所に魔力を凝縮させること。{nl}あとは決行するだけだ。
QUEST_20150317_000166	もうすぐ俺特製の装置が作動するはずだ。{nl}俺と同じようにすれば、魔術師の塔に入ることができるだろう。{nl}
QUEST_20150317_000167	もちろん、その後に出て来る魔術師たちは自分でどうにかするんだな。ハハハ！
QUEST_20150317_000168	教訓の碑石
QUEST_20150317_000169	他人の塔に侵入し、物を盗もうとした愚かな盗賊を焼き殺した。{nl}この碑石は侵入者に対する警告として残す。{nl} -アガイラ・フラリー-
QUEST_20150317_000170	魔王ジェスティ
QUEST_20150317_000171	たかだか人間の分際で生意気な…。
QUEST_20150317_000172	見ていろ。これで終わりではないぞ。{nl}精々ライマに祈るがいい…。この世界の救済をな…。
QUEST_20150317_000173	クラペダ案内兵
QUEST_20150317_000174	ようこそ。ウスカ様がクラペダ中央広場でお待ちです。{nl}ところで、何か分からないことはありませんか？
QUEST_20150317_000175	クラペダに今すぐ移動したいのか？{nl}よく考えてみるといい。
QUEST_20150317_000176	臨時GM
QUEST_20150317_000177	このキャラクターの状態値を変えてください。
QUEST_20150317_000178	NPC HIDE/UNHIDE設定！
QUEST_20150317_000179	追従者アルギス
QUEST_20150317_000180	女神が初代パラディンに預言した瞬間が来たようだな。{nl}さあ、何でも気兼ねなく聞きたまえ。
QUEST_20150317_000181	遥か昔、疫病の呪いをかけられた遊牧民がさまよっていた。{nl}初代パラディンは彼らの呪いを治癒の聖物の力で解いてあげたらしい。{nl}
QUEST_20150317_000182	何を隠そう、番人たちはその遊牧民の末裔だ。{nl}しかし、聖物の本来の目的は治癒ではない。{nl}{nl}
QUEST_20150317_000183	ある日、初代パラディンは女神に啓示を託された。{nl}それをどう隠すか悩んでいたところに現れたのが、呪われた遊牧民だったのだ。{nl}
QUEST_20150317_000184	初代パラディンは呪いを解くことを条件に、三つの盟約を結ばせた。{nl}
QUEST_20150317_000185	一つ、ターネット聖堂を共に建てること。{nl}二つ、治癒の聖物をこの地に隠して崇めること。{nl}三つ、この地に危険が迫った時は共に戦うこと。{nl}
QUEST_20150317_000186	それらは全てターネット聖堂に隠された啓示を守るための盟約だ。
QUEST_20150317_000187	治癒の聖物は本来、啓示を守るために作られたものだ。{nl}これで魔王を誘い出し、倒すのだ。{nl}
QUEST_20150317_000188	だが、万が一のことにも備えなければならない。{nl}この作戦に失敗した場合、最後の決戦が繰り広げられる場所はおそらくターネット聖堂に{nl}なるだろう。
QUEST_20150317_000189	ポンデル
QUEST_20150317_000190	どうしたの？
QUEST_20150317_000191	なんで？
QUEST_20150317_000192	パウンド
QUEST_20150317_000193	何か用？
QUEST_20150317_000194	ジェスティ様がここを守れと言ったのよ…？
QUEST_20150317_000195	ここでどうすればいいの？
QUEST_20150317_000196	ここがどうしたの？
QUEST_20150317_000197	説明中…
QUEST_20150317_000198	水晶鉱山で手に入れた啓示の内容の一部を教えた。
QUEST_20150317_000199	あなたの過去の業績がどんなに輝かしいものかは知りませんが、ここでは王国軍の指示に従ってください。{nl}カリス騎士団も同様です。ここでは王の命令のもとで活動する我々こそが法なのです。
QUEST_20150317_000200	盗掘師フベルタス
QUEST_20150317_000201	こんな荒廃した場所で何日も待ってたら頭がおかしくなっちまう。{nl}兄貴は一体どこで何をやってんだ！
QUEST_20150317_000202	盗掘師ベンジャミナス
QUEST_20150317_000203	私たちは考古学者と名乗っていますが、人からは盗掘師だと思われています。{nl}主のいない物に再び価値を与えることは、女神の意志を蘇らせるようなもの。{nl}ここで風化して消えて行くよりも数段良いと思うのですが…。
QUEST_20150317_000204	ある市民の日記
QUEST_20150317_000205	内戦が始まってもう1年。街の物価はどんどん上がっている。ルクリス将軍は兵站の物資を放出して不足している街の物資を補充すると言っている。だが、そんな久しぶりの朗報にもカデュメル国王がルクリス将軍を倒すために出陣するという噂のせいで、人々の表情は明るくならない。
QUEST_20150317_000206	ある番兵の日誌
QUEST_20150317_000207	カデュメル国王がルクリス将軍を倒すために出陣したことで、戦況はさらに苦しくなり、詰め所の警備も強化された。無能なカデュメルが大規模な兵力を率いて来たのは事実だが…。ハヤティン将軍が援軍を連れてくれば、カデュメルは降伏するか逃げ出すに違いない。
QUEST_20150317_000208	ある商人の日記
QUEST_20150317_000209	街の食糧と物資が底をついた。(以下は判読不能)
QUEST_20150317_000210	市民たちが苦しい生活を強いられているという報告を聞いたルクリス将軍は、市民の安全を条件にカデュメルと交渉をするという噂が聞えて来た。
QUEST_20150317_000211	ある将校の記録
QUEST_20150317_000212	宰相であるプリミア・エミネントがルクリス将軍との交渉に応じたらしい。交渉によって我々は大地の要塞へ全員移動し、街は王室軍に明け渡すことになるという噂がある。市民を思えばその方が良いのかもしれない。街は譲っても、大地の要塞は敵に簡単に明け渡すほど弱い場所ではない。
QUEST_20150317_000213	カデュメル国王が街の市民を処罰せよと駄々をこねているそうだ。宰相であるエミナントがそれを諌め、ルクリス将軍と交渉した内容通り、街の安全を確保するのに苦労しているらしい。街を占領した王室軍もとりあえずは大人しくしているようだ。
QUEST_20150317_000214	コスタス様が来るまでここにいなければなりません。{nl}やるべきことが多いので、早く来てくれると良いのですが…。
QUEST_20150317_000215	クリオマンサー コスタス
QUEST_20150317_000216	シルクの印を取り戻せれば、全ては解決するはず。{nl}街を元に戻せるということです。
QUEST_20150317_000217	盗掘師ルドルファス
QUEST_20150317_000218	王国軍とカリス騎士団、そして俺達盗掘師が絶妙なバランスで存在してるんだ。{nl}そのおかげで、人々が歩き回れるんだよ。それまでは人のいられるような場所じゃなかったからな。
QUEST_20150317_000219	王国軍将校の記録
QUEST_20150317_000220	ルクリスどもが大地の要塞へ後退してから、特に進展はない。メイバーンの影響を受けたクレリックたちが参戦に消極的だと知ると、国王は巨額を投じてウィザードたちを雇用し、戦況を変えようとしているが、それでも何も進展はしないような気がする。
QUEST_20150317_000221	街の住民の記録
QUEST_20150317_000222	そんな馬鹿な！リディア・シャッフェンがカデュメル軍側についたらしい。
QUEST_20150317_000223	王国軍行政官の記録
QUEST_20150317_000224	噂で聞いていたリディア・シャッフェンが彼女の追従者たちを率いて街に入って来た。将校や兵士たちは彼女の参戦がこう着状態の続く戦況を変えるだろうと大きな期待を寄せているようだ。国王陛下も彼女をしっかりもてなせという勅令を何度も下された。
QUEST_20150317_000225	市民の記録
QUEST_20150317_000226	大地の要塞が陥落するなんて！もうお終いだ…。
QUEST_20150317_000227	大地の要塞が陥落してルクリス将軍は戦死したらしい。リディア・シャッフェンの放った矢で命を落としたと言う話もあり、王室軍のウィザードの魔法が原因だと言う噂もあって正確な状況は分からないが、亡くなったのは確かなようだ。目の前が真っ暗になった。
QUEST_20150317_000228	カリス騎士団を支援するために、本部から離れてこんな場所まで来ています。{nl}気になることがあるならば、慟哭の広場にある本部の方へ問い合わせてください。
QUEST_20150317_000229	カリス騎士団のせいでこんな場所の警備をさせられる気持ちが分かりますか？{nl}しかも盗掘師までうじゃうじゃいるし…。今は本部から支援が来るのを待っているところなんです。
QUEST_20150317_000230	これまでは、時間が消え去ったこの呪われた現象だけを見て来ましたが、私が来た以上は変わるはずです。
QUEST_20150317_000231	この町の呪いが解ければ、死んだ人も戻って来るんですか？{nl}来ませんよね。でも領主さまは代々ここを取り戻そうと努力しているんです。{nl}そして、そのためには手段や方法を選びません。
QUEST_20150317_000232	盗掘師ステフォナス
QUEST_20150317_000233	俺達はディーコ盗掘団の奴らみたいなチンピラとは違うんだ。{nl}今回手伝ってくれたら、いつか絶対恩返しをしてやろう。
QUEST_20150317_000234	王国軍ロフデル
QUEST_20150317_000235	見張り台から見ていると、時間が止まったようなこの街にも色んな種類の事件が毎日起きていることが分かります。{nl}普段は砂埃で見えにくいですが、雨が降るとルクリス通りまではっきり見えるんですよ。
QUEST_20150317_000236	我々はこの廃墟を蘇らせるために、もう数百年も努力を続けてきました。{nl}あなたが協力してくれれば、きっとあの時の真実を明らかにして街を蘇らせることができるはずです。
QUEST_20150317_000237	ボコル エディータ
QUEST_20150317_000238	これは間違いなく呪いですね。私の全てをかけてでも明らかにしなきゃ。
QUEST_20150317_000239	アルケミスト サリアモナス
QUEST_20150317_000240	ここは実に興味深い場所…。街中に研究対象が眠っているぞ。
QUEST_20150317_000241	盗掘師アマンダ
QUEST_20150317_000242	俺の仲間はディーコ盗賊団みたいなケダモノとは違うんだよ。{nl}もちろん、生きるために法律をちょっとだけ破ってるけどな。
QUEST_20150317_000243	もう死んだ兵士がいるんですか？{nl}こんな不規則な石化の霜は初めてです。{nl}街全体が何かを隠すためにあの日を再現しているような…。
QUEST_20150317_000244	快速移動
QUEST_20150317_000245	破れた手紙
QUEST_20150317_000246	親愛なる兄さんへ。フェディミアンにて…。
QUEST_20150317_000247	ジェスティが気付いたようだな。{nl}落ち着きたまえ。まだチャンスはある。
QUEST_20150317_000248	休暇中の補給兵
QUEST_20150317_000249	一体この国の王室は何をしているんだろうな。{nl}聞いた話だと、お偉いさんたちは真っ先に逃げたっていうじゃないか。
QUEST_20150317_000250	こんな時には商店で物を買うよりも、自分で作って使う方がいいぞ。{nl}俺は補給兵なんだが、やってることは鍛冶屋みたいなもんさ。
QUEST_20150317_000251	追従者ノマ
QUEST_20150317_000252	私たちの依頼を受けてくれた方が噂で聞いていた啓示者様だとは知りませんでした。{nl}本当に光栄です！
QUEST_20150317_000253	ジェスティの魔族たちがどんどん攻撃してきています。{nl}でも、ここに棲息するパントたちにまでその魔手を伸ばしたようで…。{nl}
QUEST_20150317_000254	パントは本来、大人しくてのんびりしているのですが、今は人を見つけると襲いかかって来るんですよ。
QUEST_20150317_000255	ここにはパントたちが崇拝する木があります。{nl}きっとその木が邪悪な気に汚染されたせいでしょう。{nl}
QUEST_20150317_000256	彼らから、この渓谷の頂にあるロムーバの結界を守ってください。{nl}後始末は仲間が到着したら私たちがしておきますから。
QUEST_20150317_000257	あなたに女神の加護がありますように…。
QUEST_20150317_000258	どこかで一暴れしたいな。{nl}最近は戦闘らしい戦闘をしていないんだ。
QUEST_20150317_000259	まだ準備中です。{nl}もうしばらくお待ちください。
QUEST_20150317_000260	アンタレス
QUEST_20150317_000261	おやおやこれはまた。何だ、また実験を邪魔しに来たのか？{nl}そんなことはさせないぞ。
QUEST_20150317_000262	気を付けて！これはアンタレスの仕業に違いないわ。{nl}近づけば爆発するはず。{nl}モンスターをおびき寄せて一つずつ除去した方がいいわね。
QUEST_20150317_000263	このバルブを開けば、私の偉大なる実験は完成するのだ。{nl}それはそれは素敵な光景を鑑賞できるだろう。そこで見ておれ！
QUEST_20150317_000264	私が紅炎の宝石を安定化させるまで、邪魔されないように守ってちょうだい。
QUEST_20150317_000265	何よ、まだ状況を把握できていないの？{nl}アンタレスがいなければ、生涯人間でいられたはずなんだけどね。{nl}そう、私は魔族よ。{nl}
QUEST_20150317_000266	ああ…紅炎の宝石を作るのを手伝ったんだから、出来た物を見るべきよね？{nl}私はすごく気に入ったんだけど、君はどうかしら？フフフ…
QUEST_20150317_000267	ヘルガ・セルクルっていう魔将については知ってる？{nl}本で見たんだけど、以前も何度かこの魔術師の塔を攻略しようとしたらしいの。{nl}
QUEST_20150317_000268	彼女は強くなり続けるわ。嫉妬が収まるまでね。{nl}でもそのたびに返り討ちにあったみたいだけど、まさか今回も来てるのかしら？{nl}
QUEST_20150317_000269	後ろを見て！すぐ後ろから来ています！
QUEST_20150317_000270	この啓示が炎の加護のもと、あなたに届きますように…。{nl}さあ、これからあなたの時代に起きる災いに付いて予言しましょう。{nl}
QUEST_20150317_000271	あらゆるものの根源…{nl}世界樹は地中深くからこの地に生命の力を与えてくれる太古の存在です。{nl}
QUEST_20150317_000272	ギルティネは災いを起こすため、世界樹の原理を逆転させます。{nl}生命の力を供給していた世界樹は、逆にあらゆる力を吸い込んで爆発的に成長するでしょう。{nl}
