UI_20150317_000001	{@st41b}各クラスのマスターのところで{nl}特性を習得できます。{/}
UI_20150317_000053	{@st47}%s登場!!
UI_20150317_000054	{@st43}スコア{/}
UI_20150317_000055	受けたダメージ
UI_20150317_000056	テクニックボーナス
UI_20150317_000057	回避ボーナス
UI_20150317_000058	クリア時間
UI_20150317_000059	総合点
UI_20150317_000060	{@st42}経過時間
UI_20150317_000061	10分
UI_20150317_000062	10秒
UI_20150317_000063	{@st44}締め切る
UI_20150317_000064	{@st59}自販機を閉じます{/}
UI_20150317_000065	{@st43}バフ自販機
UI_20150317_000066	自販機名
UI_20150317_000067	{@st43}登録
UI_20150317_000068	{@st43}取消
UI_20150317_000069	バフ自販機
UI_20150317_000070	{@st59}バフ自販機を閉じます。
UI_20150317_000071	{@st59}バフ自販機{nl} - シルバーを支払うとプレイヤーにバフスキルをかけることができます。
UI_20150317_000072	馬車メニュー
UI_20150317_000073	{ol}{s22}降りる{/}
UI_20150317_000074	キャスティング
UI_20150317_000075	{@st43}ゲーム設定{/}
UI_20150317_000076	{@st64}方向キーでセルを選択してください！
UI_20150317_000077	{@st43}転職情報{/}
UI_20150317_000078	{@st43}クラス選択
UI_20150317_000079	サイコキネスト
UI_20150317_000080	{@st42}%sサークル{/}
UI_20150317_000081	何サークル
UI_20150317_000082	クラスに関する簡単な説明がここに表示されます。
UI_20150317_000083	{@st41b}攻撃力 {@sti7}%s{/}
UI_20150317_000084	{@st41b}補助    {@sti7}%s{/}
UI_20150317_000085	{@st41b}難易度 {@sti7}%s{/}
UI_20150317_000086	{@st59}クラス情報ウィンドウを閉じます{/}
UI_20150317_000087	転職機能アラーム
UI_20150317_000088	{@st43}クラス転職
UI_20150317_000089	{@sti7}{s14}キャラクター{/}
UI_20150317_000090	{@sti8}{s14}クラス{/}
UI_20150317_000091	{@st44}チャット{/}
UI_20150317_000092	To. WWWWWWWW 他 1
UI_20150317_000093	一般 : /s 内容{nl}シャウト : /y 内容{nl}PT : /p 内容{nl}ささやき : /w キャラ名 内容
UI_20150317_000094	{@st41}一般チャット{/}
UI_20150317_000095	{@59}終了{/}
UI_20150317_000096	{@59}招待{/}
UI_20150317_000097	{@st59}全体{/}
UI_20150317_000098	{@st59}一般  (/s 任意の言葉){/}
UI_20150317_000099	{@st59}シャウト  (/y 任意の言葉){/}
UI_20150317_000100	{@st59}PT  (/p 任意の言葉){/}
UI_20150317_000101	{@st59}ささやき   (/w チーム名 任意の言葉){/}
UI_20150317_000102	{@st59}チャットウィンドウサイズ調節{/}
UI_20150317_000103	{@st43}{s22}チャットメッセージ{/}
UI_20150317_000104	{@st43}チャット定型文{/}
UI_20150317_000105	{@st59b}チャット定型文{nl}{@st59s} - 使い方 : {nl} 1. 上のポーズアイコンを下にあるポーズスロットに登録{nl} 2. チャットメッセージを作成して保存{nl} 3. ショートカットキーを使うと、ポーズをとりながらチャットメッセージを発言する{/}
UI_20150317_000106	{@st59}チャット定型文を閉じます{/}
UI_20150317_000107	{@st41b}保存{/}
UI_20150317_000108	{@st59}登録した内容を保存します{/}
UI_20150317_000109	{@st41b}取消{/}
UI_20150317_000110	{@st59}登録した内容を取消します{/}
UI_20150317_000111	{@st42}チャット設定
UI_20150317_000112	{@st42}透明度
UI_20150317_000113	吹き出し表示
UI_20150317_000114	画面上部にシャウトの内容表示
UI_20150317_000115	{@st43}チートリスト{/}
UI_20150317_000116	{@st42b}  アイテム  {/}
UI_20150317_000117	{@st42b}  モンスター  {/}
UI_20150317_000118	{@st42b}  マップ移動  {/}
UI_20150317_000119	{@st42b}  戦闘命令  {/}
UI_20150317_000120	{@st41b}閉じる{/}
UI_20150317_000121	{s16}{b}ダブルクリックか、生成ボタンを押すとアイテムを作ることができます。
UI_20150317_000122	{s16}{b}個
UI_20150317_000123	{s16}{b}レベル
UI_20150317_000124	{@st41b}検索{/}
UI_20150317_000125	{s16}{b}ダブルクリックか、生成ボタンを押すとモンスターを召喚することができます。
UI_20150317_000126	{s16}{b}匹
UI_20150317_000127	{s16}{b}地域を選択してください
UI_20150317_000128	{s18}{b}ミニマップ表示{/}
UI_20150317_000129	{@st41b}ツールリスト{/}
UI_20150317_000130	{@st59b}コレクション{nl}{@st59s} - ゲーム内コレクションデッキを手に入れてアイテムを集めると、そのアイテムをコレクションできる{nl} - コレクションデッキアイテムを使用すると、コレクションショートカットキーが活性化{nl}{/}
UI_20150317_000131	{@st59}コレクション情報を閉じます{/}
UI_20150317_000132	{@st43}コレクション{/}
UI_20150317_000133	{@st43}カラースプレー{/}
UI_20150317_000134	{@st49}カラースプレー{/}
UI_20150317_000135	{@st49}色{/}
UI_20150317_000136	{@st49}残量{/}
UI_20150317_000137	{@st49}ブラシ{/}
UI_20150317_000138	{@st49}{a END_EDIT_SPRAY}描く{/}{/}
UI_20150317_000139	{@st49}{a SAVE_EDIT_SPRAY}保存{/}{/}
UI_20150317_000140	{@st49}{a LOAD_EDIT_SPRAY}読み込む{/}{/}
UI_20150317_000141	{@st49}閉じる{/}
UI_20150317_000142	{@st43}コンパニオン購入
UI_20150317_000143	{@st59}購入するコンパニオンの名前を入力してください{/}
UI_20150317_000144	{@st41b}名前{/}
UI_20150317_000145	{@st41b}価格     %s{/}
UI_20150317_000146	{@st59}コンパニオン購入ウィンドウを閉じます{/}
UI_20150317_000147	{@st41b}購入
UI_20150317_000148	{@st59}購入するコンパニオンを決めます{/}
UI_20150317_000149	{@st43}コンパニオンショップ
UI_20150317_000150	{@st59}コンパニオンショップを閉じます{/}
UI_20150317_000151	{@st43}他のキャラクター情報{/} {@st42}
UI_20150317_000152	{@st59}キャラクター情報を閉じます{/}
UI_20150317_000153	{@st41b}情報
UI_20150317_000154	{@st41b}記録
UI_20150317_000155	チーム名
UI_20150317_000156	キャラ名
UI_20150317_000157	{#ffff00}%s{/}ランク %s {#ffff00}%s{/}レベル
UI_20150317_000158	ソードマン
UI_20150317_000159	冒険ポイント {#ffff00}%s{/} ({#ffff00}%s{/}位/%s)
UI_20150317_000160	冒険ポイント {#ffff00}%s{/} ({#ffff00}Unranked{/})
UI_20150317_000161	業績達成 {#ffff00}%s{/}個
UI_20150317_000162	設定
UI_20150317_000163	タブ名を消して確認を押すと、タブが削除されます
UI_20150317_000164	{@st49}全体{/}
UI_20150317_000165	{@st49}システム{/}
UI_20150317_000166	{@st49}チャット{/}
UI_20150317_000167	{@st49}戦闘{/}
UI_20150317_000168	{@st49}アイテム{/}
UI_20150317_000169	{@st43}クレジット{/}
UI_20150317_000170	{@st43}ターゲット固定設定中{/}
UI_20150317_000171	NPC名
UI_20150317_000172	比較
UI_20150317_000173	イラスト
UI_20150317_000174	チャット選択
UI_20150317_000175	テキストヘルプ
UI_20150317_000176	{@st41}アイテム製造{/}
UI_20150317_000177	{@st45tw2}アイテム製造中…
UI_20150317_000178	%r 秒
UI_20150317_000179	{@st41}取消{/}
UI_20150317_000180	{@st45tw2}個数{/}
UI_20150317_000181	{@st45tw2}アイテムを作りますか？
UI_20150317_000182	{@st41}決定{/}
UI_20150317_000183	クエスト情報
UI_20150317_000184	{@st59}取引を取消します{/}
UI_20150317_000185	{@st43}個人取引{/}
UI_20150317_000186	自分の取引リスト
UI_20150317_000187	シルバー: %s
UI_20150317_000188	入力
UI_20150317_000189	{@st41}受諾
UI_20150317_000190	{@st41}最終確認
UI_20150317_000191	相手(%s)の取引リスト
UI_20150317_000192	相手の名前
UI_20150317_000193	{s18}{ol}{gr gradation1}フィールドイベント{/}
UI_20150317_000194	{s20}{ol}ゴブリン族を倒せ！に参加しますか？
UI_20150317_000195	{s20}{ol}%s参加しますか？
UI_20150317_000196	{s20}{ol}参加人数 : (1/5)
UI_20150317_000197	{s20}{ol}参加人数 : (%s/%s)
UI_20150317_000198	{s20}{ol}1秒後にゲームが始まります。
UI_20150317_000199	{s20}{ol}%s秒後にゲームが始まります。
UI_20150317_000200	今日は表示しない
UI_20150317_000201	フィールドイベントを表示しません。
UI_20150317_000202	ゲーム参加
UI_20150317_000203	プレイヤーたちとゲームを開始します。
UI_20150317_000204	ゲームに参加しません。
UI_20150317_000205	スプレープリセット
UI_20150317_000206	{@st49}選択{/}
UI_20150317_000207	{@st49}取消{/}
UI_20150317_000208	{@st49}削除{/}
UI_20150317_000209	保存するファイルの名前を入力します。
UI_20150317_000210	{@st43}フレンド
UI_20150317_000211	{@st59}フレンドリストを閉じます{/}
UI_20150317_000212	{@st59b}フレンド{nl}{@st59s} - フレンドの関係はチーム単位で成立{nl} - リストタブのリスト右クリックでフレンドの状態確認やリスト管理が可能{nl} - 管理タブでフレンド申請、拒否、などの内容とブラックリストを確認可能{/}
UI_20150317_000213	{@st41b}接続中のフレンドだけ表示{/}
UI_20150317_000214	{@st41b}リスト
UI_20150317_000215	{@st41b}管理
UI_20150317_000216	{@st41b}フレンド申請
UI_20150317_000217	{@st41b}ブロック
UI_20150317_000218	{@st59}検索{/}
UI_20150317_000219	{@st44}ギルド{/}
UI_20150317_000220	ギルド
UI_20150317_000221	名簿
UI_20150317_000222	お知らせ
UI_20150317_000223	ギルドミッション
UI_20150317_000224	接続中のメンバー数
UI_20150317_000225	{@st44}ギルド設立{/}
UI_20150317_000226	{@st42}設立{/}
UI_20150317_000227	{@st42}閉じる{/}
UI_20150317_000228	{@st42}全体{/}
UI_20150317_000229	{@st42}今日のランキング{/}
UI_20150317_000230	{@st42}週間ランキング{/}
UI_20150317_000231	{@st56}順位{/}
UI_20150317_000232	{@st56}点数{/}
UI_20150317_000233	{@st56}職業{/}
UI_20150317_000234	{@st56}名前{/}
UI_20150317_000235	前のページ
UI_20150317_000236	次のページ
UI_20150317_000237	{@st42}ID検索{/}
UI_20150317_000238	入力したIDを検索します
UI_20150317_000239	名誉の殿堂を閉じます
UI_20150317_000240	検索するIDを入力します
UI_20150317_000241	{@st59}スタミナ{/}
UI_20150317_000242	{@st43}ヘルプリスト{/}
UI_20150317_000243	{@st59}ヘルプリストウィンドウを閉じます{/}
UI_20150317_000244	{@st59b}ヘルプリスト{nl}{@st59s} - 一度読んだヘルプをリストで再確認できる{nl} - 確認したい項目を選択すると詳細表示{/}
UI_20150317_000245	{@st43}{s22}ヘルプ{/}
UI_20150317_000246	{@st47_b}{b}ヘルプタイトル{/}
UI_20150317_000247	{@st42b}簡単ヘルプ内容{/}
UI_20150317_000248	{@st59}詳しく見る{/}
UI_20150317_000249	数を入力してください
UI_20150317_000250	{@st59}内容を入力します{/}
UI_20150317_000251	{@st41b}確認
UI_20150317_000252	{@st59}入力内容を確認します{/}
UI_20150317_000253	{@st41b}閉じる
UI_20150317_000254	{@st59}入力を取消します{/}
UI_20150317_000255	{@st43}ワープ{/}
UI_20150317_000256	{@st59}ワープウィンドウを閉じます{/}
UI_20150317_000257	{@st59b}ワープ{nl}{@st59s} - 自分が行ったことのある地域へワープできるシステム{nl} - ワープポイントが2個以上の場合にワープ機能が活性化{nl}{/}
UI_20150317_000258	{@st41}現在の位置 : %s{/}
UI_20150317_000259	{@st43}{s22}ワープ{/}
UI_20150317_000260	{@st41b}この地域に移動しますか？{/}
UI_20150317_000261	シャウレイなんちゃら
UI_20150317_000262	消耗コイン : 0
UI_20150317_000263	イントロ
UI_20150317_000264	{@st43}インベントリ{/}
UI_20150317_000265	{@st59}インベントリを閉じます{/}
UI_20150317_000266	{@st59b}着用装備{nl}{@st59s} - ヘア/コスチューム : 外見変更可能アイテム着用{nl} - 武器 : 片手装備と両手装備を着用可能{nl}   (片手装備着用時、サブウェポン/盾を着用可能 ){nl} - 防具 : 上半身、下半身、手袋、靴着用{nl} - アクセサリ : ネックレス 1個、ブレスレット2個着用{nl}{/}
UI_20150317_000267	{@st59}ヘアコスチューム1{/}
UI_20150317_000268	{@st59}ヘアコスチューム2{/}
UI_20150317_000269	{@st59}ネックレス{/}
UI_20150317_000270	{@st59}コスチューム{/}
UI_20150317_000271	{@st59}上半身{/}
UI_20150317_000272	{@st59}手袋{/}
UI_20150317_000273	{@st59}下半身{/}
UI_20150317_000274	{@st59}靴{/}
UI_20150317_000275	{@st59}左手{/}
UI_20150317_000276	{@st59}右手{/}
UI_20150317_000277	{@st59}ブレスレット1{/}
UI_20150317_000278	{@st59}ブレスレット2{/}
UI_20150317_000279	{@st59}アームバンド{/}
UI_20150317_000280	{@st59}入力した名前で検索します{/}
UI_20150317_000281	重さ
UI_20150317_000282	{@st43}装備バフ{/}
UI_20150317_000283	{@st59}修理UIを閉じます{/}
UI_20150317_000284	{@st42}バフ可能装備リスト
UI_20150317_000285	{@st42}消費アイテム{/}
UI_20150317_000286	{@st42}実行
UI_20150317_000287	{@st42}ターゲットアイテム{/}
UI_20150317_000288	{@st59}リング1{/}
UI_20150317_000289	{@st43}アイテム製造{/}
UI_20150317_000290	{@st42b}材料が揃っている物だけ表示{/}
UI_20150317_000291	{@st59}アイテム製造を閉じます{/}
UI_20150317_000292	{@st43}{s22}アイテムを分ける
UI_20150317_000293	{@st59}個数を入力してください{/}
UI_20150317_000294	モンスター体力ゲージ
UI_20150317_000295	{@st44}セットアイテム獲得{/}
UI_20150317_000296	キーボードウォーリアー
UI_20150317_000297	キル
UI_20150317_000298	99分99秒
UI_20150317_000299	38000点
UI_20150317_000300	改良された迅速のポーション
UI_20150317_000301	{@st41}確 認{/}
UI_20150317_000302	{@st59b}冒険日誌{nl}{@st59s} - これまでの冒険の情報が冒険日誌に記録{nl} - アイテム獲得、モンスター狩り、製造、マップ探検、コンテンツ進行で冒険ポイント獲得{nl}    冒険ポイント : 他のすべてのポイントの合計{nl}    成長 : キャラレベル・職業レベルが1上がるごとに5点{nl}    アイテム : 装備 : 等級×10点、本 : 10点、その他 : 1点{nl}    モンスター : 1モンスター10点 (ボス : 50点){nl}    地域探索 : 10%で1点{nl}    クエスト : 1クエストで1点{nl}    業績 : 業績別に異なる{nl}    製造法 : 1個10点{nl}    コレクション : デッキ5点、完成45点{nl} - 獲得した冒険ポイントによって村のNPCから報酬をもらえる{/}
UI_20150317_000303	{@sti7}{s22}{ds}冒険ポイント達成度{/}
UI_20150317_000304	{@st42b}{#22FF22}上位 10% / %s点{/}
UI_20150317_000305	{@st42b}全体平均 /  %s点{/}
UI_20150317_000306	1位 / %s点
UI_20150317_000307	%s位
UI_20150317_000308	%s点
UI_20150317_000309	職業
UI_20150317_000310	チーム
UI_20150317_000311	{@st59}冒険日誌を閉じます{/}
UI_20150317_000312	{@st43}冒険日誌ランキング{/}
UI_20150317_000313	{@st43}{s22}順位
UI_20150317_000314	{@st43}{s22}名前
UI_20150317_000315	{@st43}{s22}点数
UI_20150317_000316	{@st41}詳細情報{/}
UI_20150317_000317	{@st43}製造開始{/}
UI_20150317_000318	{@st59}アイテム製造を開始します。{/}
UI_20150317_000319	{@st44}キーパッド{/}
UI_20150317_000320	{@st42}制限時間
UI_20150317_000321	{@st56}キル{/}
UI_20150317_000322	{@st56}オーバーキル{/}
UI_20150317_000323	{@st56}被撃{/}
UI_20150317_000324	{@st56}死亡{/}
UI_20150317_000325	呪文力
UI_20150317_000326	防御力
UI_20150317_000327	魔法抵抗力
UI_20150317_000328	クリティカル率
UI_20150317_000329	{@st43}ソケット管理{/}
UI_20150317_000330	{@st59}ソケット管理を閉じます{/}
UI_20150317_000331	アイテムを載せてください
UI_20150317_000332	ポテンシャル
UI_20150317_000333	ソケット追加費用 : {#ff9933}%s{/}{nl}ジェム抽出費用 : {#ff9933}%s{/}
UI_20150317_000334	{@st41b}ソケット追加
UI_20150317_000335	{@st41b}ジェム抽出
UI_20150317_000336	{@st41}製造{/}
UI_20150317_000337	{@st41}%s  %s個
UI_20150317_000338	地域地図
UI_20150317_000339	探査率 : 95.5%
UI_20150317_000340	{@st45tw}探査率 %s%{/}
UI_20150317_000341	{@st59}地図を閉じます (M){/}
UI_20150317_000342	{@st41}地図{/}
UI_20150317_000343	Shift(消去)、Ctrl(間を埋める)
UI_20150317_000344	{ol}タイトル
UI_20150317_000345	{@st41}追加{/}
UI_20150317_000346	{@st41}削除{/}
UI_20150317_000347	{@st41}保存{/}
UI_20150317_000348	{@st41}自動{/}
UI_20150317_000349	{@st41}初期化{/}
UI_20150317_000350	{@st59}かけらの数を設定します。{/}
UI_20150317_000351	{ol}グループ
UI_20150317_000352	{ol}メッセージ
UI_20150317_000353	{ol}サウンド
UI_20150317_000354	{@st41}ミニマップ製造{/}
UI_20150317_000355	{@st55}地域地図
UI_20150317_000356	{@st43}{s22}マーケット{/}
UI_20150317_000357	{@st43}{s24}マーケット{/}
UI_20150317_000358	{@st42b}系列{/}
UI_20150317_000359	{@st42b}タイプ{/}
UI_20150317_000360	{@st42b}着用 レベル{/}
UI_20150317_000361	{@st42b}強化数値{/}
UI_20150317_000362	{@st42b}名前
UI_20150317_000363	{@st41b}アイテム受取箱%s
UI_20150317_000364	{@st41b}販売登録
UI_20150317_000365	{@st41b}検索
UI_20150317_000366	{@st59}マーケットウィンドウを閉じます{/}
UI_20150317_000367	{@st42b}表示順
UI_20150317_000368	{@st41b}販売中のアイテム
UI_20150317_000369	{@st43}{s22}アイテム受取箱
UI_20150317_000370	{@st41b}全部受け取る
UI_20150317_000371	{@st41b}アイテム受取箱
UI_20150317_000372	{@st43}{s22}販売登録
UI_20150317_000373	{@st42b}個数
UI_20150317_000374	{@st42b}価格
UI_20150317_000375	{@st42b}販売者非公開{/}
UI_20150317_000376	{@st41b}登録
UI_20150317_000377	攻城戦コイン
UI_20150317_000378	誰かが誰かを退治しました。
UI_20150317_000379	{@st43}ミニゲーム{/}
UI_20150317_000380	{@st49}投石器発射{/}
UI_20150317_000381	{@st44}方向調節{/}
UI_20150317_000382	{@st44}発射{/}
UI_20150317_000383	ミニゲーム
UI_20150317_000384	{s18}{ol}{gr gradation1}氷鬼ミニゲーム{/}
UI_20150317_000385	{s16}ミニゲームに参加しますか？
UI_20150317_000386	{s16}参加人数 : (0/5)
UI_20150317_000387	{s16}参加人数 : (%s/%s)
UI_20150317_000388	{s16}1秒後にゲームが始まります。
UI_20150317_000389	{s16}%s秒後にゲームが始まります。
UI_20150317_000390	{@st59}拡大{/}
UI_20150317_000391	{@st59}縮小{/}
UI_20150317_000392	{@st59}地図 (M){/}
UI_20150317_000393	{@st42b}地域地図
UI_20150317_000394	{@st44}アイテム調合機{/}
UI_20150317_000395	{s16}{#FFcc66}{ol}製造するアイテムを選択してください{/}{/}
UI_20150317_000396	{s16}{#FFcc66}{ol}材料アイテムをスロットにドラッグしてください
UI_20150317_000397	{@st42}製造{/}
UI_20150317_000398	{@st42}取消{/}
UI_20150317_000399	%sの情報
UI_20150317_000400	ケッピーとか
UI_20150317_000401	{@st41}{詳細情報}
UI_20150317_000402	{s20}{#050505}モンスター説明内容 モンスター説明内容 モンスター説明内容 モンスター説明内容
UI_20150317_000403	{@st41} キル {/}
UI_20150317_000404	{@st41} オーバーキル {/}
UI_20150317_000405	{@st41} 一般キル {/}
UI_20150317_000406	{@st41} 地域{/}
UI_20150317_000407	{@st41} アイテム {/}
UI_20150317_000408	{@st41} 業績 {/}
UI_20150317_000409	対象
UI_20150317_000410	{@st43}ネクロノミコン{/}
UI_20150317_000411	{@st59}ネクロノミコンUIを閉じます{/}
UI_20150317_000412	{@st59}私には何の考えもない。なぜなら何も考えていないからだ。{/}
UI_20150317_000413	召喚体 : {#ffcc33}%s{/}
UI_20150317_000414	アンデッドハーピー
UI_20150317_000415	スキル : %s
UI_20150317_000416	スキル1、スキル2
UI_20150317_000417	必要な破片 : %s
UI_20150317_000418	野獣 60 / 昆虫 20 / 変異 10
UI_20150317_000419	破片の数
UI_20150317_000420	パーツ1
UI_20150317_000421	パーツ2
UI_20150317_000422	パーツ3
UI_20150317_000423	おめでとうございます！レベルが上がりました
UI_20150317_000424	アイテムについて
UI_20150317_000425	{@st64}内容{/}
UI_20150317_000426	操作チュートリアル
UI_20150317_000427	{@st42b}キャラクターが上下左右4方向に移動します{/}
UI_20150317_000428	{@st42b}キャラクターが基本攻撃を行います{/}
UI_20150317_000429	{@st42b}キャラクターがその場で、もしくは移動しながらジャンプします{/}
UI_20150317_000430	{@st42b}隣り合う方向キー2個を同時に入力すると、斜めに移動します{/}
UI_20150317_000431	マップフォグツール
UI_20150317_000432	モンスター討伐ツール
UI_20150317_000433	ミニマップ作製ツール
UI_20150317_000434	ダイアログツール
UI_20150317_000435	{@st43}運営者設定{/}
UI_20150317_000436	{@st59}PT情報を閉じます{/}
UI_20150317_000437	{@st59b}PT情報{nl}{@st59s} - 下のPT作成ボタンを押すと、自分でPTを作ることができる{nl} - 他のプレイヤーのキャラクターを右クリックすると、PTに招待可能{nl} -設定タブで現在のPTの様々な設定をリアルタイムに調整{nl} - PTリストでPTメンバーを募集する時に公開する項目で条件設定{/}
UI_20150317_000438	{@st43}PT情報{/}
UI_20150317_000439	{@st41b}構成{/}
UI_20150317_000440	{@st41b}PTイベント{/}
UI_20150317_000441	{@st41b}設定{/}
UI_20150317_000442	{@st41}メンバー{/}
UI_20150317_000443	{@st41}PT加入条件
UI_20150317_000444	{@st41b}公開
UI_20150317_000445	{@st41b}非公開
UI_20150317_000446	希望レベル                                 ～
UI_20150317_000447	{@st41}アイテム分配ルール
UI_20150317_000448	{@st41b}それぞれ獲得
UI_20150317_000449	{@st41b}順番に獲得
UI_20150317_000450	{@st41b}ランダムに分配
UI_20150317_000451	{@st41}経験値分配ルール
UI_20150317_000452	{@st41b}それぞれ獲得
UI_20150317_000453	{@st41b}均等分配
UI_20150317_000454	{@st41b}レベル別
UI_20150317_000455	{@st41}クエスト共有
UI_20150317_000456	{@st41b}使用する
UI_20150317_000457	{@st41b}使用しない
UI_20150317_000458	{@st41b}PT作成
UI_20150317_000459	{@st43}公開PTリスト{/}
UI_20150317_000460	{@st59b}公開PTリスト{nl}{@st59s} - サーバー内の公開されたPTリストを確認し、PTに加入{nl} - 検索オプションを使うと、条件に合ったPTを検索できる{/}
UI_20150317_000461	{@st59}PTリストを閉じます{/}
UI_20150317_000462	検索オプション使用
UI_20150317_000463	クエスト共有
UI_20150317_000464	経験値分配ルール
UI_20150317_000465	アイテム分配ルール
UI_20150317_000466	{@st43}招待
UI_20150317_000467	{@st41b}招待{/}
UI_20150317_000468	{s18}{ol}{gr gradation1}ログアウトPCルール{/}
UI_20150317_000469	{ol}ルール適用条件
UI_20150317_000470	{ol}ルール適用動作
UI_20150317_000471	ルールの名前を入力します
UI_20150317_000472	{gr gradation1}登録{/}
UI_20150317_000473	ルールを登録します
UI_20150317_000474	{gr gradation1}取消{/}
UI_20150317_000475	作業を取消します
UI_20150317_000476	{@st43}コンパニオン情報
UI_20150317_000477	{@st59b}コンパニオン情報{nl}{@st59s} - 休眠/活動ボタンでコンパニオンを出し入れできる{nl} - コンパニオンの特性、アイテム装着によりカスタマイズ可能{/}
UI_20150317_000478	{@st59}コンパニオン情報を閉じます{/}
UI_20150317_000479	{@st41b}名前 : {@sti9}%s{/}
UI_20150317_000480	{@sti9}%s{@st41b}との親密度 : {@sti9}%s {@st41b}レベル{/}
UI_20150317_000481	{@st41b}経験値{/}
UI_20150317_000482	{@st41b}スタミナ{/}
UI_20150317_000483	{@st41b}親密度{/}
UI_20150317_000484	{@st41b}特性と情報
UI_20150317_000485	{@st43}コンパニオン{/}
UI_20150317_000486	{@st59b}コンパニオン{nl}{@st59s} -リストで項目をクリックすると詳細情報表示{/}
UI_20150317_000487	{@st59}コンパニオンを閉じます{/}
UI_20150317_000488	{@st59}ヘルプウィンドウを閉じます{/}
UI_20150317_000489	{@st59}ヘルプ{nl} - ヘルプ詳細表示{nl} - 他の項目を見る時は、ヘルプリストから選択{/}
UI_20150317_000490	{@st43}ヘルプ{/}
UI_20150317_000491	ヘルプタイトル
UI_20150317_000492	{ol}{#AAAA00}{s16}進行時間 : %s
UI_20150317_000493	{@st43}ポイズンポット{/}
UI_20150317_000494	{@st59}ポイズンポットUIを閉じます{/}
UI_20150317_000495	{@st59}作成必要{/}
UI_20150317_000496	毒の量 : %s
UI_20150317_000497	毒製造に使えるアイテム
UI_20150317_000498	全体を選択
UI_20150317_000499	もう一度クリックすると、全体解除
UI_20150317_000500	製造
UI_20150317_000501	混ぜて混ぜてぐるぐる混ぜて
UI_20150317_000502	{@st43}項目{/}
UI_20150317_000503	{@st43}自分{/}
UI_20150317_000504	{@st43}対象{/}
UI_20150317_000505	{@st43}レベル{/}
UI_20150317_000506	{@st43}所持金{/}
UI_20150317_000507	{@st43}等級{/}
UI_20150317_000508	{@st43}PvP勝率{/}
UI_20150317_000509	{@st59}ウィンドウを閉じます{/}
UI_20150317_000510	{@sti5}合計購入金額: %s{/}
UI_20150317_000511	{@sti5}所持金額 : %s{/}
UI_20150317_000512	{@st41b}購入
UI_20150317_000513	{@st43}製造アイテムの材料獲得！
UI_20150317_000514	{@st43}マグナムオーパス{/}
UI_20150317_000515	{@st41}全体削除
UI_20150317_000516	{@st42}錬金対象 {@stx1}(%s 必要){/}
UI_20150317_000517	{@st41}調合
UI_20150317_000518	{@st43}クエスト{/}
